Object_Type,moved_left,moved_right,Time
Person,0,1,2021-12-15 13:07:26.991559
Person,1,0,2021-12-15 13:07:46.134996
Person,0,1,2021-12-15 13:07:47.482492
Person,1,0,2021-12-15 13:09:02.415355
Person,1,0,2021-12-15 13:09:19.083919
Person,0,1,2021-12-15 13:09:19.611325
Person,0,1,2021-12-15 13:09:58.773100
Object_Type,moved_left,moved_right,Time
Object_Type,moved_left,moved_right,Time
Person,1,0,2021-12-15 13:24:01.043462
Person,1,0,2021-12-15 13:24:18.571917
Person,0,1,2021-12-15 13:24:31.864132
Person,1,0,2021-12-15 13:24:32.406743
Person,0,1,2021-12-15 13:24:32.926560
Person,1,0,2021-12-15 13:24:33.188915
Person,0,1,2021-12-15 13:24:33.446683
Person,1,0,2021-12-15 13:24:40.427588
Person,1,0,2021-12-15 13:24:40.946241
Person,0,1,2021-12-15 13:25:05.475085
Person,0,1,2021-12-15 13:25:07.048337
Person,1,0,2021-12-15 13:25:07.837803
Person,0,1,2021-12-15 13:25:09.410612
Person,1,0,2021-12-15 13:25:09.670846
Person,0,1,2021-12-15 13:25:13.068551
Person,1,0,2021-12-15 13:25:14.123140
Person,0,1,2021-12-15 13:25:14.379311
Person,1,0,2021-12-15 13:25:52.816330
Person,0,1,2021-12-15 13:25:53.076564
Person,1,0,2021-12-15 13:25:53.860369
Person,0,1,2021-12-15 13:25:54.133584
Person,1,0,2021-12-15 13:25:56.749676
Person,0,1,2021-12-15 13:25:57.279772
Person,1,0,2021-12-15 13:26:03.888191
Person,0,1,2021-12-15 13:26:04.681098
Person,1,0,2021-12-15 13:26:04.940917
Person,1,0,2021-12-15 13:26:06.811648
Person,0,1,2021-12-15 13:26:07.119550
Person,1,0,2021-12-15 13:26:07.714983
Person,1,0,2021-12-15 13:26:09.536387
Person,0,1,2021-12-15 13:26:11.382995
Person,1,0,2021-12-15 13:26:12.436869
Person,0,1,2021-12-15 13:26:12.695938
Person,1,0,2021-12-15 13:26:14.253803
Person,2,0,2021-12-15 13:26:15.313301
Person,0,1,2021-12-15 13:26:15.573320
Person,0,1,2021-12-15 13:26:16.357529
Person,1,0,2021-12-15 13:26:22.155009
Person,0,1,2021-12-15 13:26:25.332308
Person,0,1,2021-12-15 13:26:27.186333
